#{"t_start": 1788899905.600558, "env_id": "None"}
r,l,t
0.975185,4,11075.453497
0.729534,5,11086.436383
0.990588,15,11086.78521
0.912476,6,11090.398445
0.98451,6,11090.5788
0.933898,7,11090.760421
0.928921,6,11090.909243
0.937323,3,11090.982332
0.984363,5,11095.604178
0.989875,3,11097.774057
0.967517,7,11098.044477
0.0,2,11159.500955
0.965543,3,11161.778372
0.953788,7,11161.989188
0.975977,3,11164.259848
0.964761,12,11169.237604
0.871614,11,11169.54914
0.0,1,11229.808899
0.996554,3,11229.896932
0.872064,7,11230.138193
0.919102,13,11234.028241
0.949535,7,11240.320718
0.930399,5,11240.465227
0.995178,5,11242.455547
0.123393,9,11246.107697
0.980293,7,11246.278351
0.972087,6,11246.429062
0.960284,5,11251.262552
0.982268,5,11253.497027
0.972468,4,11255.932919
0.975273,7,11256.090318
0.947879,5,11256.243237
0.936905,6,11256.436441
0.931325,13,11274.086924
0.955221,7,11274.332958
0.96563,4,11274.521006
0.989548,8,11278.758803
0.0,8,11364.423496
0.740449,5,11364.641359
0.996733,6,11372.538551
0.981265,4,11375.727266
0.915547,10,11376.126189
0.956113,7,11380.989235
0.920568,7,11387.5107
0.957144,13,11388.091722
0.91982,8,11388.46102
0.970163,11,11388.746713
0.936536,6,11388.893807
0.975331,5,11389.027908
0.937048,9,11394.264561
0.931771,6,11397.927004
0.943001,6,11408.247799
0.908952,8,11411.507849
0.946262,3,11414.128221
0.831884,10,11414.61086
0.931154,24,11415.302053
0.759254,15,11418.594454
0.920485,9,11425.373634
0.962737,5,11430.481667
0.819154,10,11442.690112
0.977267,5,11442.818607
0.881906,4,11442.928806
0.933285,3,11445.844856
0.969114,5,11445.962082
0.913161,9,11452.847382
0.978,8,11455.214315
0.945947,9,11820.854698
0.9225,5,11821.001584
0.882471,3,11830.772696
0.915546,9,11831.286346
0.857546,5,11831.428822
0.956113,11,11836.88662
0.927805,3,11839.278172
0.903322,3,11854.448581
0.974834,3,11854.527013
0.95379,5,11859.400257
0.977794,3,11859.496161
0.96054,7,11859.759429
0.946262,5,11862.625005
0.960108,5,11862.790418
0.918385,12,11873.357332
0.967373,4,11878.309753
0.866215,7,11878.746715
0.990797,4,11878.839253
0.863282,4,11885.441679
0.931828,3,11885.563803
0.979498,4,11885.67629
0.970456,15,11891.028165
0.952675,9,11898.719369
0.987589,4,11898.816364
0.0,11,12023.638521
0.824827,8,12036.707298
0.995298,4,12036.795927
0.853829,5,12040.555643
0.977119,6,12040.715822
0.988064,3,12043.309268
0.979059,8,12050.399147
0.971154,11,12053.75583
0.953733,3,12056.142849
0.990588,3,12056.222018
0.9225,4,12056.321061
0.939611,3,12059.775097
0.936372,3,12062.558127
0.0,6,12129.828958
0.92937,4,12137.001927
0.989548,3,12139.124736
0.935443,4,12139.248402
0.990231,6,12141.454513
0.922833,4,12141.562806
0.913056,4,12149.93498
0.001913,5,12150.859057
0.981117,4,12150.964999
0.955623,6,12156.049105
0.984659,5,12158.634333
0.967373,5,12161.275901
0.961727,6,12164.529072
0.915249,6,12167.564093
0.923669,8,12171.027606
0.908105,4,12174.261263
0.927805,4,12174.372582
0.757866,4,12174.491872
0.927671,13,12178.149824
0.924192,9,12181.573095
0.971562,12,12186.423386
0.991987,3,12186.503374
0.771311,10,12209.340647
0.972291,7,12209.506165
0.893018,8,12216.948516
0.99491,3,12218.973114
0.962908,7,12221.541698
0.748736,5,12221.819709
0.968154,5,12221.98902
0.933926,8,12225.002076
0.965922,5,12227.41925
0.907394,5,12227.548952
0.976768,3,12227.627277
0.913549,6,12235.040232
0.979353,5,12241.562432
0.983683,3,12241.641545
0.937323,4,12241.78804
0.974717,7,12244.633809
0.904597,5,12248.279792
0.917313,4,12251.658
0.72757,7,12259.488324
0.941047,11,12263.568077
0.907097,3,12263.651205
0.97162,10,12268.563984
0.943141,5,12268.693691
0.933145,3,12274.549576
0.980058,3,12274.628117
0.949392,3,12277.47115
0.951675,4,12289.667652
0.973227,3,12294.160978
0.942294,6,12297.298302
0.916838,6,12297.450984
0.9402,8,12303.422439
0.970106,3,12305.746124
0.984659,3,12308.392509
0.858869,8,12318.129636
0.974893,5,12318.291844
0.986107,4,12318.400669
0.0,8,12456.661532
0.987411,8,12462.577852
0.933315,13,12470.350089
0.936512,3,12474.497532
0.904053,5,12474.764729
0.853829,5,12475.137526
0.946145,6,12479.380623
0.958812,4,12479.582181
0.815648,8,12480.254218
0.979499,8,12491.912038
0.933758,3,12492.067411
0.993745,5,12492.260237
