#{"t_start": 1789501611.0506365, "env_id": "None"}
r,l,t
0.970636,15,17300.318097
0.945311,9,17732.236296
0.562727,11,17732.566697
0.596435,27,17743.495635
0.0,5,17807.183854
0.541528,8,17818.976036
0.786896,6,17822.965443
0.880942,4,17827.147178
0.879738,5,17829.841259
0.842639,15,17837.144036
0.937651,9,17840.419235
0.962472,7,17840.577935
0.785254,8,17840.824142
0.991694,5,17844.785078
0.841615,25,17869.099513
0.977303,9,17869.305943
0.665893,8,17880.720337
0.833454,6,17880.922587
0.883124,4,17881.030823
0.771906,8,17881.257968
0.911929,19,17893.142263
0.955542,3,17895.534986
0.377747,11,17922.126496
0.862784,13,17928.676263
0.423481,16,17969.61985
0.926421,4,17976.522795
0.89796,4,17976.664445
0.740539,11,17991.433263
0.711726,10,18000.671105
0.418759,7,18005.629805
0.441454,7,18021.807216
0.946844,13,18034.379335
0.552351,33,18067.908649
0.84131,4,18073.16275
0.905695,5,18077.178324
0.817372,14,18090.162872
0.599534,5,18096.76236
0.930572,26,18101.932796
0.0,5,18163.192469
0.963029,12,18163.507941
0.998249,10,18167.377903
0.69994,6,18174.901145
0.757181,5,18180.278794
0.369982,48,18231.250243
0.942121,5,18231.38776
0.799573,6,18239.932118
0.746346,8,18259.140304
0.111497,8,18321.523231
0.441151,6,18321.706219
0.571243,8,18331.367265
0.988123,3,18333.426014
0.998395,9,18341.522107
0.860454,10,18344.301342
0.948525,10,18351.297704
0.948625,11,18361.460665
0.89957,10,18361.777923
0.973847,6,18364.242482
0.833454,5,18364.418538
0.0,5,18449.800599
0.399658,5,18450.124554
0.93735,9,18450.340825
0.232273,16,18509.560002
0.744961,6,18513.385747
0.789179,4,18523.323531
0.920088,4,18526.522034
0.90291,5,18534.845733
0.863095,13,18539.153047
0.0,22,18645.85324
0.727838,9,18655.142551
0.0,6,18789.958279
0.684383,7,18803.696472
0.981347,5,18805.814805
0.93584,8,18808.8382
0.746095,16,18821.798388
0.998249,9,18823.838106
0.927473,4,18823.953976
0.844793,7,18830.236522
0.202131,6,18836.084456
6.8e-05,17,18935.56027
0.962552,7,18935.744656
0.729247,10,18954.032073
0.756053,10,18954.328834
0.8868,12,18967.406128
0.657537,12,18975.080542
0.957191,6,18982.055336
0.823245,9,18982.312536
0.181001,42,19074.847115
0.956338,4,19077.364848
0.839075,10,19086.011876
0.894884,8,19096.516585
0.909837,6,19099.969239
0.820663,10,19107.950717
0.82034,8,19113.236161
0.0,7,19203.398589
0.64782,5,19212.113827
0.949444,8,19212.300269
0.962472,5,19212.404233
0.85718,9,19226.030665
0.674853,13,19237.944789
0.985872,5,19242.044182
0.0,9,19248.266693
0.906456,7,19250.60679
0.783525,10,19271.465095
0.891567,5,19276.73901
0.945048,11,19284.97931
0.901107,20,19299.470795
0.860023,6,19305.802946
0.656155,17,19334.510997
0.84187,7,19338.206437
0.858691,6,19344.673771
0.943544,3,19349.422192
0.925686,19,19353.352727
0.887065,8,19356.742378
0.919906,5,19361.630894
0.509783,14,19378.159955
0.0,8,19425.043707
0.003504,14,19468.553765
0.905804,6,19472.759637
0.880145,7,19476.17176
0.43679,4,19488.667124
0.890709,14,19497.252851
0.862207,17,19508.452259
0.901257,6,19508.593016
0.667804,20,19530.964569
0.67266,14,19536.45494
0.825378,10,19542.075173
0.882758,15,19552.017459
0.689963,28,19571.294298
0.140094,12,19600.837605
0.990928,3,19600.907722
0.606949,8,19631.994243
0.759555,3,19636.436194
0.895057,13,19639.295921
0.02796,10,19698.621606
0.858856,20,19704.791488
0.890889,17,19724.845094
0.942271,5,19728.202459
0.681234,8,19728.401158
0.848939,16,19734.446745
0.364637,7,19746.485938
0.907273,3,19746.553468
0.971414,5,19749.763366
0.927157,11,19754.219809
0.893135,11,19765.227987
